Site,Plot,Tree #,Species,Species Ac,DBH (in),DBH Class (1 inch bin),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status,Age,BA/tree (sq. ft),BA/acre,TPA
Great River Harbor,3,11,SM,,23,,27,1,27.08333333,218,52.2,65,D,L,75,2.885166,28.85166,10
Great River Harbor,3,12,CW,,33.7,,0,6,0.5,216,84.9,15,D,L,68,6.19405326,61.9405326,10
Great River Harbor,3,13,SM,,7.9,,16,6,16.5,314,36.9,75,S,L,63,0.34038414,3.4038414,10
Great River Harbor,3,14,CW,,40.3,,28,7,28.58333333,328,118.6,25,D,L,67,8.85778686,88.5778686,10
Great River Harbor,4,1,BW,,27.6,,24,0,24,28,61.1,35,D,L,96,4.15463904,41.5463904,10
Great River Harbor,4,2,SM,,23.5,,31,6,31.5,71,66.9,40,D,L,105,3.0119715,30.119715,10
Great River Harbor,4,3,ASH,,5.9,,32,1,32.08333333,87,34.1,60,I,L,77,0.18985374,1.8985374,10
Great River Harbor,4,4,SM,,36.6,,35,8,35.66666667,155,70.6,55,D,L,99,7.30596024,73.0596024,10
Great River Harbor,4,5,BW,,8.5,,33,6,33.5,248,49.9,60,S,L,33,0.3940515,3.940515,10
Great River Harbor,4,6,BW,,5.8,,33,6,33.5,248,49.9,60,S,L,16,0.18347256,1.8347256,10
Great River Harbor,4,7,OAK,,39,,8,11,8.916666667,270,79.9,40,D,L,128,8.295534,82.95534,10
Great River Harbor,4,8,BW,,14,,28,1,28.08333333,332,76.9,60,C,L,51,1.068984,10.68984,10
